ISO3,country_name,year,ag_harvester,ag_milkingmachine,ag_tractor,atm,aviationpkm,aviationtkm,bed_acute,bed_hosp,bed_longterm,cabletv,cellphone,cheque,computer,creditdebit,eft,elecprod,fert_total,internetuser,irrigatedarea,kidney_dialpat,kidney_homedialpat,loom_auto,loom_total,mail,med_catscanner,med_lithotriptor,med_mammograph,med_mriunit,med_radiationequip,newspaper,pctdaysurg_cataract,pctdaysurg_cholecyst,pctdaysurg_hernia,pctdaysurg_lapcholecyst,pctdaysurg_tonsil,pctdaysurg_varicosevein,pcthomedialysis,pctimmunizdpt,pctimmunizmeas,pctirrigated,pctmvbyarea,pest_total,pos,radio,railline,railp,railpkm,railt,railtkm,ship_all,ship_motor,ship_sail,ship_steam,ship_steammotor,shipton_all,shipton_motor,shipton_sail,shipton_steam,shipton_steammotor,spindle_mule,spindle_ring,steel_acidbess,steel_basicbess,steel_bof,steel_eaf,steel_ohf,steel_other,steel_stainless,surg_appendectomy,surg_breastcnsv,surg_cardcath,surg_cataract,surg_cholecyst,surg_corbypass,surg_corinterven,surg_corstent,surg_csection,surg_hernia,surg_hipreplace,surg_hysterectomy,surg_kneereplace,surg_lapcholecyst,surg_mastectomy,surg_pacemaker,surg_prostatetrans,surg_prostatextrans,surg_tonsil,surg_varicosevein,telegram,telephone,transplant_bonemarrow,transplant_heart,transplant_kidney,transplant_liver,transplant_lung,tv,txtlmat_artif,txtlmat_otherraw,txtlmat_synth,txtlmat_totalraw,vehicle_car,vehicle_com,visitorbeds,visitorrooms,xlpopulation,xlrealgdp,pctivprimeenroll,pctivsecenroll,pctivprivateinv,pctivpublicinv,pctivliteracy,INV
MLI,MALI,2000,0.0006218821917124601,,0.0005377104617705779,,,,,,,,0.00010020281818181818,,7.303486137867902e-05,,,,0.0011601298976086074,0.00012469384513462346,0.002500045621270461,,,,,,,,,,,,,,,,,,,0.21333333333333337,0.23076923076923075,0.003941551749742364,0.38810811090847686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00018936822885662268,,,,,,0.000627285285539371,,,,,,,0.0013075946672128453,0.0005861468830913821,0.007804522570331754,0.0009424588941211071,,,,,0.2921615201900237,0.06360493462094541
MRT,MAURITANIA,2000,3.646840013128624e-05,,7.520863103416451e-05,,,,,,,,0.00014437709090909091,,0.00014862332625784126,,,,5.991047913186501e-05,3.8317692806253887e-05,0.0008759283928538842,,,,,,,,,,,,,,,,,,,0.21333333333333337,0.4307692307692308,0.0011942459784701712,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,7.231570531953906e-05,,,,,,,,,,,0.0,0.0,,,0.0016944347037865517,,,,,,0.28741092636579574,0.05505019534523886
SEN,SENEGAL,2000,0.00014683329526544197,,0.00014187556159076463,,,,,,,,0.0022764427272727273,,0.0009818677665233786,,,,0.0011119969419353482,0.00031924751723591137,0.0012773955729119145,,,,,,,,,,,,,,,,,,,0.37333333333333335,0.21538461538461534,0.008781738096916732,0.044416147366232894,0.006431016628300431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0010687538088581076,,,,,,,,,,,,,0.009534769028439914,0.002314828930727098,0.007484179514206535,0.0015438005429524498,,,,,0.25653206650831356,0.051837828251423995
AFG,AFGHANISTAN,2000,,,0.00017104234370927718,,,,,,,,0.0,,,,,,0.00014173942623880257,,0.043522692019927374,,,,,,,,,,,,,,,,,,,0.09333333333333334,0.015384615384615314,0.06266431257603419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0014436785843118516,,,,,,,,,0.019851437571937282,,,,,,0.24465558194774348,0.04811684331878509
SLE,SIERRA LEONE,2000,2.2072979026831147e-05,,1.3125051953330649e-05,,,,,,,,0.00011259636363636365,,,,,,0.0,3.8290055611713586e-05,0.0005292067373492217,,,,,,,,,,,,,,,,,,,0.26666666666666666,0.046153846153846115,0.010871018534213567,0.1401365908455834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.23071809742319e-05,,,,,,,,,,,,,8.300477277443452e-05,8.17141930235593e-05,0.0037194214267672956,,,,,,0.24465558194774348,0.04754369619394468
CAF,CENTRAL AFRICAN REPUBLIC,2000,2.2072979026831147e-05,0.00015986557685962783,2.2916757378831292e-06,,,,,,,,4.640363636363636e-05,,2.5738832582918604e-05,,,,1.315108078504354e-05,1.3037764669258813e-05,,,,,,,,,,,,,,,,,,,,0.17333333333333334,0.030769230769230715,,0.07828863501867042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9051858818627282e-05,,,,,,0.0,,,,,,,,,0.002321462182248323,,,,,,0.3657957244655582,0.046486428512420346
NER,NIGER,2000,,,2.2708423220841917e-05,,,,,,,,1.8711809090909092e-05,,1.8531394235211167e-05,,,,0.0001278285052306232,2.8756755758794553e-05,0.0011861530319896348,,,,,,,,,,,,,,,,,,,0.09333333333333334,0.0,0.003961652523622159,0.36967783387904984,0.0008047015678488744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00036206103223114863,,,,,,,0.0009955182812622116,0.0002166035922534945,0.007598835087981836,0.0005256711714655225,,,,,0.0,0.02816934708168085
SOM,SOMALIA,2000,,,0.0003606264274796088,,,,,,,,9.726224242424241e-05,,,,,,1.0228618388367196e-05,0.0,0.003631453128706728,,,,,,,,,,,,,,,,,,,0.12000000000000004,0.061538461538461514,0.004500173256670382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00013122371229849983,,,,,,,,,,,,,,,0.005278883435205464,,,,,,,0.019554831235963487
HKG,HONG KONG,2000,,,,,,,,,,0.006851062176165803,0.049521327272727275,0.0033078758949880668,0.01464600956726581,,,0.022703551939698446,,0.014957805752500662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013986105605450515,,,,,,,,0.010036454287007078,0.004950983884218007,0.018865604592206674,,,,,,0.015982678097222834
AGO,ANGOLA,2000,,,0.002141883478288768,,,,,,,0.0001476211139896373,0.00022123154545454547,,7.53001072202752e-05,,,,3.653077995845427e-05,0.00011053742408878184,0.001350389605649738,,,,,,,,,,,,,,,,,,,0.09333333333333334,0.10769230769230763,0.0012704489122831232,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00031851798024175624,,,,,,,,,,,,,0.004564723510562896,0.0015823282690860573,0.008464523145010115,,,,,,,0.014753978459831674
